id,CAS_001_RAW,CAS_002_RAW,CAS_003_RAW,CAS_004_RAW,CAS_005_RAW,CAS_006_RAW,CAS_007_RAW,CAS_001_DIR,CAS_002_DIR,CAS_003_DIR,CAS_004_DIR,CAS_005_DIR,CAS_006_DIR,CAS_007_DIR,CAS_RAW_NA,CAS_DIR_NA,CAS_DIRt
082yon1f8s,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,3,3,1,2,2,2,2,0,0,15
198ffmz813,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,0,1,2,0,2,2,3,0,0,10
1cz3j0oygl,1 Casi nunca me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,0 No me sucede,1,1,0,2,2,0,0,0,0,6
1geph65310,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,3,1,2,2,1,2,0,0,0,11
1ql026p3y1,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,1,1,2,2,3,1,3,0,0,13
1zft2e3qp3,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,2,3,1,3,2,3,0,0,0,14
1zzo6hstkp,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,0,0,1,3,2,3,0,0,0,9
22eggg60y0,3 Me sucede mucho,0 No me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,3 Me sucede mucho,3,0,0,3,2,3,3,0,0,14
22j8z6m295,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,1,0,2,2,0,3,1,0,0,9
2bnosnpjg1,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,3,0,3,0,3,2,2,0,0,13
2bx6a27wgy,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,2,2,2,0,2,0,1,0,0,9
2kjksz3dk6,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,1,0,1,0,2,1,2,0,0,7
2mywdvql6d,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,3,2,1,3,1,3,0,0,0,13
30jdzb9h5k,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,0,1,2,0,1,0,0,0,0,4
33cfoos1cj,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,1,0,0,0,3,0,1,0,0,5
34g5faf8dk,0 No me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,0,0,3,2,3,0,1,0,0,9
3hcye28j4f,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,2,2,3,0,2,1,2,0,0,12
3kgh8q2chr,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,3,0,3,1,3,0,2,0,0,12
3l1rjzr1fa,0 No me sucede,0 No me sucede,0 No me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,0,0,0,0,0,3,1,0,0,4
3ncvz1y8n3,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,0,1,2,3,2,3,0,0,0,11
3xbk959gyo,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,0,1,0,3,3,0,2,0,0,9
4213z28ad7,0 No me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0,3,0,2,1,1,3,0,0,10
4fqkay53v1,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,2 A veces me sucede,3,0,3,3,3,1,2,0,0,15
4j7j7cqxla,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,2 A veces me sucede,0 No me sucede,1,1,1,0,0,2,0,0,0,5
4lyok1kabv,2 A veces me sucede,2 A veces me sucede,0 No me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,2,2,0,2,2,2,0,0,0,10
4scghjtvfc,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,2,0,1,0,0,1,3,0,0,7
4upg4vr5tz,0 No me sucede,2 A veces me sucede,0 No me sucede,0 No me sucede,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,0,2,0,0,2,0,1,0,0,5
4xyj6fx8w9,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,3,0,3,2,1,3,2,0,0,14
5hy23ac493,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,3,2,0,3,0,1,0,0,0,9
5jwndyfo63,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,2,0,1,2,3,3,1,0,0,12
5lh5jn8ogo,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,1,2,1,2,2,2,2,0,0,12
5pq1892xr2,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,1,1,3,1,0,3,3,0,0,12
5ze99wwyzg,0 No me sucede,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,0,2,0,1,3,3,1,0,0,10
721nldl3hk,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,1,1,3,0,3,0,2,0,0,10
7b3vrfl7yx,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,2,2,2,2,0,1,1,0,0,10
7dsu96rh9s,0 No me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,0 No me sucede,0,3,0,2,3,0,0,0,0,8
7mr0sg6y83,0 No me sucede,0 No me sucede,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,0,0,0,2,3,3,3,0,0,11
7pbuln5m01,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,0,1,3,0,1,1,2,0,0,8
7vxgxt0rc5,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,2,3,1,3,2,0,1,0,0,12
7z8bcdbqgl,3 Me sucede mucho,0 No me sucede,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,3,0,0,2,3,2,3,0,0,13
8evkdzrlyq,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,0,2,3,1,1,2,0,0,0,9
8g2ukdmqya,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,0 No me sucede,2 A veces me sucede,3 Me sucede mucho,1,1,2,0,0,2,3,0,0,9
8khkqwrctk,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,3,2,0,2,1,0,2,0,0,10
8vmbbnagsa,3 Me sucede mucho,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,3,0,1,0,1,2,0,0,0,7
90kkx9ja4q,3 Me sucede mucho,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,3,1,0,1,1,1,3,0,0,10
92vkkqc5mv,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,3,0,3,0,2,2,3,0,0,13
96zsxy7sba,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,0 No me sucede,0 No me sucede,0 No me sucede,0 No me sucede,1,2,0,0,0,0,0,0,0,3
9k2579rrx7,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,2,2,1,3,1,3,0,0,0,12
9vs3bc7s4y,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,3 Me sucede mucho,3 Me sucede mucho,1 Casi nunca me sucede,1,2,2,0,3,3,1,0,0,12
aa8r46b3ux,1 Casi nunca me sucede,0 No me sucede,3 Me sucede mucho,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,1,0,3,2,1,2,2,0,0,11
ag8zd67dhr,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,2 A veces me sucede,0 No me sucede,2 A veces me sucede,1,2,2,3,2,0,2,0,0,12
ah7t5bzpf3,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,2 A veces me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,1,2,1,2,1,3,1,0,0,11
aophl7k2k6,2 A veces me sucede,3 Me sucede mucho,0 No me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,2,3,0,3,1,3,2,0,0,14
b7f4hnqpg2,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,3 Me sucede mucho,2,0,1,3,1,3,3,0,0,13
bale3xl06k,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,1,1,2,2,0,2,1,0,0,9
brjht9nmu9,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,1 Casi nunca me sucede,3 Me sucede mucho,3 Me sucede mucho,3 Me sucede mucho,0,1,0,1,3,3,3,0,0,11
bwt12n9qj9,3 Me sucede mucho,3 Me sucede mucho,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,3,3,2,2,1,0,2,0,0,13
by7v8bl7of,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,3 Me sucede mucho,0,0,1,2,2,2,3,0,0,10
c5el7ygpwu,0 No me sucede,0 No me sucede,0 No me sucede,2 A veces me sucede,0 No me sucede,1 Casi nunca me sucede,0 No me sucede,0,0,0,2,0,1,0,0,0,3
c7fryfrpnh,1 Casi nunca me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,1,1,1,0,2,1,1,0,0,7
c7ws8fexjx,0 No me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,2 A veces me sucede,0 No me sucede,0 No me sucede,1 Casi nunca me sucede,0,1,1,2,0,0,1,0,0,5
c8rjnz79uk,3 Me sucede mucho,0 No me sucede,2 A veces me sucede,2 A veces me sucede,1 Casi nunca me sucede,1 Casi nunca me sucede,3 Me sucede mucho,3,0,2,2,1,1,3,0,0,12
chylxjtm09,1 Casi nunca me sucede,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,3 Me sucede mucho,0 No me sucede,1,3,2,3,1,3,0,0,0,13
cj35eze74r,1 Casi nunca me sucede,1 Casi nunca me sucede,0 No me sucede,2 A veces me sucede,2 A veces me sucede,2 A veces me sucede,0 No me sucede,1,1,0,2,2,2,0,0,0,8
cuvccwkcqj,3 Me sucede mucho,2 A veces me sucede,3 Me sucede mucho,1 Casi nunca me sucede,0 No me sucede,0 No me sucede,3 Me sucede mucho,3,2,3,1,0,0,3,0,0,12
